Energy,CO,NO2,PM10,PM25,SO2,O3,Temperatura (C),Prędkość wiatru (km/h),Zachmurzenie (%),Ciśnienie (hPa),Opady (mm),Śnieg (cm)
0.0,0.3,14.1,18.25,12.7,0.7,29.2,5.7,3.6,0.0,1022.8,0.0,0.0
0.0,0.27,15.1,17.4,12.2,0.7,24.3,6.1,2.2,10.0,1023.1,0.0,0.0
1.82000000001,0.31,19.8,16.65,12.7,1.1,21.9,7.3,5.4,1.0,1023.6,0.0,0.0
7.13999999999,0.33,18.2,15.7,12.7,4.0,30.8,8.4,5.4,0.0,1023.6,0.0,0.0
8.88,0.35,15.2,19.8,13.6,5.1,34.7,9.8,4.7,0.0,1023.5,0.0,0.0
14.35,0.39,19.200000000000003,20.0,14.4,5.1,39.3,11.5,6.8,0.0,1023.4,0.0,0.0
12.08,0.37,15.65,18.85,13.2,1.1,47.3,12.3,6.8,7.0,1022.8,0.0,0.0
11.49,0.34,15.75,18.95,11.2,1.3,54.8,12.8,7.2,9.0,1022.5,0.0,0.0
7.76,0.41,18.05,14.15,9.2,1.0,60.4,13.1,7.2,7.0,1022.6,0.0,0.0
6.85,0.41,20.05,11.35,8.8,0.8,61.3,13.0,6.5,0.0,1022.4,0.0,0.0
3.43,0.41,19.85,11.35,8.5,0.8,65.5,12.4,7.9,0.0,1022.0,0.0,0.0
1.34,0.43,20.5,13.55,8.9,0.7,61.5,11.0,7.2,0.0,1022.1,0.0,0.0
0.16,0.57,30.4,16.8,12.5,1.3,51.7,9.6,8.6,0.0,1022.2,0.0,0.0
0.0,0.59,35.0,26.200000000000003,20.7,1.6,38.4,8.7,9.7,0.0,1021.7,0.0,0.0
0.0,0.55,28.700000000000003,30.1,29.4,1.3,44.1,8.0,9.7,0.0,1021.5,0.0,0.0
0.0,0.44,27.35,22.4,19.0,1.1,38.8,7.6,10.8,0.0,1021.0,0.0,0.0
0.0,0.56,33.95,31.1,28.2,1.1,18.0,7.2,7.2,0.0,1020.9,0.0,0.0
0.0,0.59,27.35,29.55,29.6,2.1,19.7,6.6,7.2,0.0,1020.2,0.0,0.0
0.0,0.73,25.0,27.4,33.3,0.7,19.8,6.3,7.9,0.0,1019.5,0.0,0.0
0.0,0.21,8.25,9.5,6.3,5.3,50.0,7.4,19.1,30.0,1015.0,0.0,0.0
0.0,0.17,6.2,10.2,5.5,6.5,52.3,7.9,23.8,19.0,1015.3,0.0,0.0
0.0,0.16,3.65,7.199999999999999,4.7,2.7,59.5,8.0,23.8,100.0,1015.6,0.0,0.0
0.0,0.16,4.15,8.7,4.7,1.7,61.9,8.4,25.9,100.0,1015.7,0.0,0.0
