Date,PkRzeszPilsu-PM2.5-1g,PkRzeszPilsu-PM10-1g,PkRzeszPilsu-CO-1g,PkRzeszPilsu-NO2-1g,PkRzeszRejta-O3-1g,PkRzeszRejta-SO2-1g
2025-02-08 22:00:00,33.6,41.1,0.612,28.5,30.7,4.1
2025-02-08 23:00:00,33.0,39.9,0.504,21.4,29.3,3.4
2025-02-09 00:00:00,32.7,39.2,0.462,20.5,32.2,3.0
2025-02-09 01:00:00,33.5,40.2,0.494,20.8,34.4,2.8
2025-02-09 02:00:00,32.3,38.2,0.445,18.4,34.2,2.5
2025-02-09 03:00:00,30.8,36.1,0.381,13.1,33.6,2.1
2025-02-09 04:00:00,31.1,36.2,0.381,12.0,34.8,1.9
2025-02-09 05:00:00,30.9,36.0,0.376,12.2,33.1,1.7
2025-02-09 06:00:00,30.6,35.6,0.362,12.8,31.1,1.6
2025-02-09 07:00:00,32.3,37.8,0.406,18.3,29.4,1.6
2025-02-09 08:00:00,31.3,37.4,0.459,18.5,29.5,1.7
2025-02-09 09:00:00,32.8,38.9,0.457,14.7,31.4,2.0
2025-02-09 10:00:00,32.2,38.5,0.432,12.7,37.1,1.9
2025-02-09 11:00:00,34.1,41.7,0.425,10.4,40.0,2.1
2025-02-09 12:00:00,33.6,42.7,0.453,14.0,43.2,2.1
2025-02-09 13:00:00,32.2,41.9,0.448,16.1,45.8,2.2
2025-02-09 14:00:00,32.5,42.8,0.457,19.5,47.3,2.9
2025-02-09 15:00:00,32.2,42.5,0.434,19.9,49.3,4.2
2025-02-09 16:00:00,31.2,40.7,0.462,25.7,47.9,5.4
2025-02-09 17:00:00,30.4,39.6,0.577,30.7,43.5,4.4
2025-02-09 18:00:00,31.6,40.5,0.607,35.8,39.4,4.6
2025-02-09 19:00:00,41.2,52.7,0.76,46.8,37.6,6.9
2025-02-09 20:00:00,52.9,66.1,0.917,44.7,40.8,7.4
2025-02-09 21:00:00,53.2,65.2,0.925,36.3,30.8,7.4
2025-02-09 22:00:00,52.0,62.8,0.742,31.2,26.7,8.3
2025-02-09 23:00:00,49.3,59.1,0.727,25.5,31.0,8.0
